,Source User id,Following id
6033,255208,"[109512643927608673, 110266162634306901, 109297165955005600, 109259486623287703, 2400, 29256, 41635, 109343294037329626, 1, 109297267936822269, 109245459437280357, 29412, 109373774912342849, 358035, 109532147965068108, 109259317667286444, 109297280241538513, 356249, 454368, 504993, 109252650325128475, 108199369635905314, 449871, 110090724473726417]"
582,110000966488991678,"[109326922175305173, 110117639364994604, 41635, 109259317667286444, 471607, 109259486623287703]"
9930,110249082037999006,"[109872604724693091, 109897951549644550, 18076, 1099389, 109257667776772001, 108197168887144208, 833408, 109248022493147843, 109252012248689087, 110189426046081026, 109249871917267670, 109243706270006429, 108289292558187589, 109353479054062512, 109328074638035706, 36895, 109514079259094843, 7132, 109258768109778160, 524946, 834824, 108326805067117558, 109243209118714384, 109518492758963150, 109312049068449162, 109297954383169240, 109248391235510402, 109258731701352688, 108266370371249440, 109205963723515372, 76943, 110242032453073864, 110221981869972727, 108221322111838061, 41635, 26600, 517246, 314629, 109315571638545866, 109251928870576161]"
7051,110243267736605019,"[108193337793952508, 41635, 109357459634993324, 109243323638699911, 109362199590280979, 407079, 8334, 109252043786856482, 29256, 108195927490045178, 109245459437280357, 109362085049108423]"
8158,110111958056697630,"[110279577422010508, 109294110905545309, 110197696510613957, 62568, 109461767719125036, 110272644164233510, 109367501262467775, 109363174530010233, 109261577414253733, 109366994077974330, 109547172912045730, 109285645118988629, 108205165237663770, 108201136277785960, 108328903083721372, 109313750689324319, 109393977826033271, 109302751815953103, 109942581746415719, 109338859433499512, 109680799446270782, 107628028437425670, 109916450319714911, 12108, 109330344749342988, 109298118772474323, 108234798912480971, 109249658402510624, 109315486372034757, 110260295379455725, 230084, 109300581215791673, 109837239342281704, 42049, 109717854424817197, 109325288085833368, 109334906963792896, 109388552499994955, 109271441687908011, 109291144512509908]"
9896,109520768124043522,"[110300684254302954, 109255930949131696, 108227180179706318, 940595, 109563344010167759, 109520852433950308, 110287685451604853, 254277, 109252294988832503, 108196269496113269, 26906, 109363054129692945, 13039, 109252235052978846, 110156474743664338, 14823, 171993, 108197943125380412, 109842561137182133, 106545631994650313, 108142386904295892, 239490, 109489963423954327, 41825, 449583, 41635, 808827, 109382339716209931, 108145596810684750, 109305532011609439, 1097892, 108234052395497881, 109842456108604150, 108197730309087768, 38933, 38924, 43546, 1000789, 109250435823482584, 164629]"
2249,406268,"[109312476472693223, 110266162634306901, 109253075745809751, 242899, 41635, 109208442152198181, 471607, 109871860586729678, 109292147921875411, 109245013840781703, 109251088201008636, 109357671122335449, 109258175048797222, 109520943049458270, 109243139631965273, 109258153715778437, 109252628166585689, 109364259768232698, 109292929514346332, 41428, 26897, 108192877884661719, 109520490660274066, 109224415414500824, 108199052370473764, 108202198632734288, 108199005031226769, 108176559827658279, 559242, 109248359593296921, 108194024030376887, 109247219736728009, 476510, 108198860864217728, 1276445, 42515, 109244784154483628, 109311558619827251, 109354932951372111, 311923]"
4640,110243267736605019,"[109510719375396591, 109860655675869429, 109246199302415148, 274713, 110284256838102170, 110282800393471665, 109970129706726671, 264203, 108225675103584097, 110191305952044634, 108730999511932603, 109259174496810108, 109242875206644932, 41635, 109243536788324005, 240519, 109852461846989786, 485390, 108197900630052143, 109373774912342849, 356177, 998394, 109259021235821911, 109504059545490734, 109251088201008636, 18249, 36431, 18980, 109349409773742339, 39869, 109243984968469672, 109303324348189793, 109214593460515824, 2400, 108199052370473764, 109246123088278861, 109246502245218389, 110192471998895979, 26897, 109259296548994894]"
9485,480157,"[110150165297293839, 151687, 41635, 109259486623287703, 559242, 109259317667286444, 109292929514346332, 109257128551379903, 13179, 108289684630959509, 109259814148016548, 109243623902756898, 108198396079519310, 109297267936822269, 109258321085050804, 109362225279398688, 317637, 491503, 109247398697341845, 108227380844170845, 109246858768400592, 504993, 109245686536259999, 226196, 2400, 109251088201008636, 109373774912342849, 471607, 110117639364994604]"
4947,109960190035720131,"[109535152470474410, 109430323203200130, 109287373653292958, 110295900920577610, 109313443185727019, 110266162634306901, 110268370866036101, 109528737212698660, 109817097687408063, 109294720940494344, 109299759306362520, 230110, 109366234990680493, 110026173295956657, 109855924538751182, 109379448015813937, 110075095701558793, 109406916464438912, 109371820295780594, 109405281960085322, 109388752160990698, 109349074764486321, 109246435880955389, 109377136385406354, 109418441861860693, 109376827232536453, 109440111872608097, 109992029058130424, 109734126978166188, 109287588586934971, 109360895105099893, 41635, 109345440322302509, 109458824968559674, 109298260407456876, 109251937341163439, 109289899512772418, 110049512375598555, 109847070264636922, 109285668871124404]"
